Country,ISO3,P1: State Legitimacy,Human,avg_gdp_pcap,gdp_pcap_growth_volatility,unemployment,inflation,Exposure to Natural Hazard,Aid Dependency,Flood,Tsunami,Tropical Cyclone,Drought,Communication,Quality of Infrastructure,gp_risk,ec_risk,nd_risk,sc_risk,overall_weights,gp_rating,ec_rating,nd_rating,sc_rating,ov_rating
MEXICO,MEX,62.0,90.0,91.2940171089578,7.640523825166966,14.56857729442906,21.67374976891464,75.5,1.0,72.0,66.0,77.0,39.0,28.0,53.4,77.49604843479501,39.603628248662936,69.37937056978272,43.11955164358382,74.30699266839403,10,4,8,6,7.0
MOLDOVA,MDA,66.0,3.0,98.49235174872399,37.289532950781556,15.123628557451806,27.246712248559554,100.0,24.0,56.0,0.0,0.0,55.0,25.0,68.8,31.13389102171121,48.45700665257192,34.321544046882295,51.07229771610123,32.3863250138285,4,7,5,7,5.75
MONGOLIA,MNG,40.0,8.0,96.73556459891148,44.04893875503314,22.705266104497976,23.848621945967114,84.0,27.0,44.0,0.0,0.0,57.0,36.0,70.2,22.29023036023427,52.64771692044256,28.298884335557815,56.357821504353026,24.65104015544778,3,8,4,8,5.75
MOROCCO,MAR,68.82656353774001,44.0,97.40395369433843,14.677013842806247,35.56522929666555,15.115885695764437,30.5,11.0,58.0,67.0,0.0,62.0,34.0,41.1,55.08679100022804,52.58305183319812,56.471673552538846,38.22633136493879,55.63091357878601,7,8,7,5,6.75
MOZAMBIQUE,MOZ,64.9917573785727,44.0,99.91601643992253,18.623489877197436,95.2851105047799,28.81326241127952,30.799999999999997,55.0,63.0,60.0,52.0,76.0,77.0,86.2,53.37428276893597,81.05472477872756,53.35969712196456,82.4763730362587,53.36855204482021,7,10,6,10,8.25
MYANMAR,MMR,86.0,90.0,99.13195164866606,10.213929795003535,2.4329248964240997,22.72511597866999,99.4,13.0,99.0,89.0,56.0,10.0,56.0,87.7,88.21372120497071,37.3944730009748,93.29915902960147,74.86967665754358,90.2117978921361,10,3,10,10,8.25
NAMIBIA,NAM,30.035868776647856,3.0,94.83958998843805,35.50304524847479,81.84646014651159,28.122313448302663,17.299999999999997,15.0,67.0,0.0,0.0,86.0,48.0,43.1,15.07339977523009,76.76008893931181,15.95238376124275,45.083236100253515,15.41875399475024,3,10,3,6,5.5
NEPAL,NPL,71.0,48.0,99.74355021209344,29.339977328697472,10.565039483213964,28.354915715830913,100.0,21.0,68.0,0.0,2.0,29.0,50.0,78.3,58.27110307141838,45.20231993096118,36.418436140921685,66.84579966588277,49.68515514482355,8,6,5,9,7.0
NETHERLANDS,NLD,10.0,0.0,52.02338575390883,11.604117305658969,21.500621602144445,14.19338355770521,52.8,0.0,58.0,0.0,0.0,5.0,14.0,8.599999999999994,4.465696987573208,29.985791190042548,23.090011591564505,10.785607130891627,11.783220101204186,1,1,3,1,1.5
NEW ZEALAND,NZL,6.000000000000001,1.0,65.86096621593093,6.160058038345805,19.096669062503306,18.182666222714438,81.8,0.0,38.0,71.0,29.0,15.0,17.0,39.1,3.232848493786604,32.556474286110635,67.88343988305913,30.15520044579537,28.634169662380344,1,2,7,3,3.25
NICARAGUA,NIC,76.0,25.0,98.62298988405956,0.0,16.4761853218997,25.681073300558943,100.0,17.0,52.0,81.0,36.0,39.0,43.0,65.0,47.775054636623366,41.40993304085003,80.5943598182642,56.09567465192299,60.6698123416129,6,5,9,8,7.0
NIGERIA,NGA,82.99999999999999,100.0,98.04727995238964,37.12484642663578,22.313375393094834,27.631968287582183,17.900000000000006,5.0,80.0,0.0,0.0,5.0,57.0,89.7,92.40831512112553,51.49480758760231,18.371233148766947,76.46493459626736,63.319026730216294,10,8,3,10,7.75
NORWAY,NOR,6.0,0.0,16.050281588661083,4.6337358397120685,15.082457048708315,13.606875668428676,10.200000000000003,0.0,1.0,0.0,0.0,0.0,16.0,30.0,2.679418192543925,13.259025492938534,2.6774178638558617,24.333611142132813,2.678632260190386,1,1,1,2,1.25
OMAN,OMN,71.0,1.0,84.42583185960794,20.381445361107858,12.06474594985734,3.4332822054150967,49.0,0.0,37.0,92.0,32.0,50.0,15.0,36.7,32.25987891301246,38.74184125242973,71.83874409753246,27.917097270305863,47.81047859719855,4,3,8,3,4.5
PAKISTAN,PAK,78.0,80.0,99.31056457941936,5.919422902570328,12.77228419814378,22.89140558488716,97.6,6.0,89.0,67.0,38.0,51.0,56.0,59.2,79.10686060248536,41.20767025002037,78.35233274046328,57.90482540391608,78.81040539392473,10,5,9,9,8.25
PANAMA,PAN,30.316745319964056,1.0,90.29671874880005,7.183994103793159,16.813943914730803,19.845701946543993,100.0,0.0,30.0,91.0,24.0,10.0,20.0,40.2,14.091970126081444,40.17263959741558,82.5490428066893,32.0242103622202,40.98886390624291,2,4,10,3,4.75
PARAGUAY,PRY,71.0,18.0,95.68347037928497,20.507456507671876,17.783758687001104,19.48870540143295,16.200000000000003,2.0,48.0,0.0,0.0,36.0,29.0,84.7,41.668194034138004,45.216584811692314,12.362408088658704,62.15586718691413,30.153903678818846,6,6,2,9,5.75
PERU,PER,69.0,17.0,94.79614269724509,14.17595827262759,12.188260112531223,18.357406084715336,99.6,3.0,64.0,93.0,0.0,48.0,30.0,73.7,40.22162433538068,41.093151682934646,89.55188991486826,56.01277192222886,59.60356489291915,5,4,10,8,6.75
PHILIPPINES,PHL,75.0,90.0,97.91689244563554,3.88478925016421,9.792694277551597,16.309481901510654,100.0,2.0,72.0,93.0,96.0,40.0,31.0,76.4,83.30145451864018,38.97021999155219,91.0479621679933,58.02471041805927,86.34506981291322,10,3,10,9,8.0
POLAND,POL,36.0,3.0,86.63465851550231,12.608356929012535,23.766572795259076,14.090501452896849,19.200000000000003,0.0,62.0,0.0,0.0,15.0,15.0,49.7,17.736800058991587,43.14834085118168,15.544863626612278,35.65545047371491,16.87558471503965,3,5,2,4,3.5
PORTUGAL,PRT,13.0,0.0,79.68275672265084,13.945082406092677,40.321289028181035,15.984835106168612,29.299999999999997,0.0,37.0,62.0,3.0,25.0,22.0,19.799999999999997,5.80540608384517,48.452811676531375,49.6081872362582,20.690432534807698,23.015589134308183,2,7,6,2,4.25
QATAR,QAT,63.342614183444574,1.0,37.29007423063133,4.420871314636903,0.0,1.9283136626616122,0.0,0.0,0.0,16.0,0.0,31.0,10.0,29.700000000000003,28.84032243564472,13.775466810050835,9.27837625732906,21.72658139285832,21.15440237087341,4,1,1,2,2.0
ROMANIA,ROU,55.0,37.0,91.14272797986618,17.84053150631924,21.60126260341734,19.168332196840073,98.4,0.0,70.0,0.0,0.0,28.0,24.0,69.1,45.038254577631776,44.81222929281401,36.3753413948664,50.84613303644213,41.63458207777618,6,6,5,7,6.0
RUSSIA,RUS,84.65456594200064,69.0,89.59188356454746,20.123959013755883,19.66696897860784,26.182426518961975,17.900000000000006,0.0,84.0,55.0,38.0,54.0,12.0,55.2,75.99085479689583,43.881003035751654,50.96461556468205,37.71514295286697,66.1580052170387,10,6,6,5,6.75
RWANDA,RWA,69.59216730899766,47.0,99.72447365061431,16.483362310952227,4.1865216822801194,21.850881814339925,81.3,57.0,44.0,0.0,0.0,52.0,69.0,40.7,57.088977349454076,39.67992335775733,27.636411050140953,52.15420033411725,45.51701675742319,8,4,4,7,5.75
SAUDI ARABIA,SAU,83.0,41.0,80.5255078437772,17.58752341815938,20.7176020121239,4.9139302449084274,4.0,0.0,37.0,0.0,0.0,41.0,16.0,35.8,59.75592734780747,40.70131106665992,7.446859194276051,27.786107186730693,39.20361047575818,8,4,1,3,4.0
SENEGAL,SEN,44.0,27.0,99.12112602071493,18.12425748724989,19.06769614902435,13.049764819639101,16.5,24.0,48.0,64.0,0.0,75.0,61.0,77.2,34.59168487887445,46.48629266737297,49.54952126079904,70.64317860732513,40.46864281166125,5,7,6,10,7.0
SERBIA,SRB,52.0,39.0,94.98829291873717,20.198634721365746,60.122445792624305,19.799896165996792,99.1,12.0,90.0,0.0,0.0,26.0,20.0,65.2,44.80540608384517,63.906189678872124,40.041913884854935,46.905658830314515,42.93382234995346,6,10,5,6,6.75
